Название транспорта,Пункт назначения,Стоимость трансфера (вс-чт),Стоимость трансфера (пт-сб)
"Toyota Alphard чёрного цвета, 2019-2021 года с водителем","В/из аэропорта Жуковский, Чкаловский",22380,24660
"Toyota Alphard чёрного цвета, 2019-2021 года с водителем",В/из железнодорожных вокзалов г. Москвы,18650,20550
"Volkswagen Caravelle белого цвета, 2019-2021 года с водителем","В/из аэропортов: Домодедово, Шереметьево, Внуково",11600,12800
"Volkswagen Caravelle белого цвета, 2019-2021 года с водителем","В/из аэропорта Жуковский, Чкаловский",13920,15360
"Volkswagen Caravelle белого цвета, 2019-2021 года с водителем",В/из железнодорожных вокзалов г. Москвы,11600,12800
"Hongqi HQ9 чёрного цвета, 2023-2024 года с водителем","В/из аэропортов: Домодедово, Шереметьево, Внуково",18650,20550
"Hongqi HQ9 чёрного цвета, 2023-2024 года с водителем","В/из аэропорта Жуковский, Чкаловский",22380,24660
"Hongqi HQ9 чёрного цвета, 2023-2024 года с водителем",В/из железнодорожных вокзалов г. Москвы,18650,20550
"Toyota Camry чёрного цвета, 2019-2023 года с водителем","В/из аэропортов: Домодедово, Шереметьево, Внуково",9520,10480
"Toyota Camry чёрного цвета, 2019-2023 года с водителем","В/из аэропорта Жуковский, Чкаловский",11900,13100
"Toyota Camry чёрного цвета, 2019-2023 года с водителем",В/из железнодорожных вокзалов г. Москвы,9520,10480
"Mercedes-Benz E-213 чёрного цвета, 2021 года с водителем","В/из аэропортов: Домодедово, Шереметьево, Внуково",9520,10480
"Mercedes-Benz E-213 чёрного цвета, 2021 года с водителем","В/из аэропорта Жуковский, Чкаловский",11900,13100
"Mercedes-Benz E-213 чёрного цвета, 2021 года с водителем",В/из железнодорожных вокзалов г. Москвы,9520,10480
"Mercedes-Benz S-222 чёрного цвета, 2020 года с водителем","В/из аэропортов: Домодедово, Шереметьево, Внуково",18200,20040
"Mercedes-Benz S-222 чёрного цвета, 2020 года с водителем","В/из аэропорта Жуковский, Чкаловский",22750,25050
"Mercedes-Benz S-222 чёрного цвета, 2020 года с водителем",В/из железнодорожных вокзалов г. Москвы,18200,20040
"MERCEDES-BENZ S-223 чёрного цвета, 2021-2022 года с водителем","В/из аэропортов: Домодедово, Шереметьево, Внуково",43950,48350
"MERCEDES-BENZ S-223 чёрного цвета, 2021-2022 года с водителем","В/из аэропорта Жуковский, Чкаловский",52740,58020
"MERCEDES-BENZ S-223 чёрного цвета, 2021-2022 года с водителем",В/из железнодорожных вокзалов г. Москвы,43950,48350
"MERCEDES-MAYBACH S-CLASS чёрного цвета, 2021-2022 года с водителем","В/из аэропортов: Домодедово, Шереметьево, Внуково",43950,48350
"MERCEDES-MAYBACH S-CLASS чёрного цвета, 2021-2022 года с водителем","В/из аэропорта Жуковский, Чкаловский",52740,58020
"MERCEDES-MAYBACH S-CLASS чёрного цвета, 2021-2022 года с водителем",В/из железнодорожных вокзалов г. Москвы,43950,48350
"Hongqi H5 New чёрного цвета, 2023-2024 года с водителем","В/из аэропортов: Домодедово, Шереметьево, Внуково",9520,10480
"Hongqi H5 New чёрного цвета, 2023-2024 года с водителем","В/из аэропорта Жуковский, Чкаловский",11900,13100
"Hongqi H5 New чёрного цвета, 2023-2024 года с водителем",В/из железнодорожных вокзалов г. Москвы,9520,10480
"Hongqi H9 чёрного цвета, 2023-2024 года с водителем","В/из аэропортов: Домодедово, Шереметьево, Внуково",9520,10480
"Hongqi H9 чёрного цвета, 2023-2024 года с водителем","В/из аэропорта Жуковский, Чкаловский",11900,13100
"Hongqi H9 чёрного цвета, 2023-2024 года с водителем",В/из железнодорожных вокзалов г. Москвы,9520,10480
"Москвич 6 чёрного цвета, 2024 года с водителем","В/из аэропортов: Домодедово, Шереметьево, Внуково",9520,10480
"Москвич 6 чёрного цвета, 2024 года с водителем","В/из аэропорта Жуковский, Чкаловский",11900,13100
"Москвич 6 чёрного цвета, 2024 года с водителем",В/из железнодорожных вокзалов г. Москвы,9520,10480
"Hyundai Sonata чёрного цвета, 2023 года с водителем","В/из аэропортов: Домодедово, Шереметьево, Внуково",10320,11360
"Hyundai Sonata чёрного цвета, 2023 года с водителем","В/из аэропорта Жуковский, Чкаловский",12900,14200
"Hyundai Sonata чёрного цвета, 2023 года с водителем",В/из железнодорожных вокзалов г. Москвы,10320,11360
"Kia K900 , 2020-2022 года с водителем","В/из аэропортов: Домодедово, Шереметьево, Внуково",9520,10480
"Kia K900 , 2020-2022 года с водителем","В/из аэропорта Жуковский, Чкаловский",11900,13100
"Kia K900 , 2020-2022 года с водителем",В/из железнодорожных вокзалов г. Москвы,9520,10480
"Genesis G80 чёрного цвета, 2019-2023 года с водителем","В/из аэропортов: Домодедово, Шереметьево, Внуково",9640,10640
"Genesis G80 чёрного цвета, 2019-2023 года с водителем","В/из аэропорта Жуковский, Чкаловский",12050,13300
"Genesis G80 чёрного цвета, 2019-2023 года с водителем",В/из железнодорожных вокзалов г. Москвы,9640,10640
"Genesis G90 чёрного цвета, 2021-2023 года с водителем","В/из аэропортов: Домодедово, Шереметьево, Внуково",12720,14000
"Genesis G90 чёрного цвета, 2021-2023 года с водителем","В/из аэропорта Жуковский, Чкаловский",15900,17500
"Genesis G90 чёрного цвета, 2021-2023 года с водителем",В/из железнодорожных вокзалов г. Москвы,12720,14000
"Hongqi HQ9 чёрного цвета, 2023-2024 года с водителем","В/из аэропортов: Домодедово, Шереметьево, Внуково",18650,20550
"Hongqi HQ9 чёрного цвета, 2023-2024 года с водителем","В/из аэропорта Жуковский, Чкаловский",22380,24660
"Hongqi HQ9 чёрного цвета, 2023-2024 года с водителем",В/из железнодорожных вокзалов г. Москвы,18650,20550
